id;model;include_size;include_training_data;training data size;dataset;causal/bidir;size;Avg. Performance;Ellipsis;Argument Structure;Determiner-Noun Agreement;Island Effects;Subject-Verb Agreement;Control/Raising;Anaphor Agreement;Irreg. Forms;Quantifiers;Binding;NPI Licensing;Filler-Gap
372;Pythia 410M;1;1;825GB;blimp;causal;<1B;81.6;;;;;;;;;;;;
372;Pythia 1B;1;1;825GB;blimp;causal;1-7B;82.2;;;;;;;;;;;;
372;Pythia 1.4B;1;1;825GB;blimp;causal;1-7B;81.9;;;;;;;;;;;;
372;GPT2, 85M BPE;1;1;100M;blimp;causal;<1B;77.8;;;;;;;;;;;;
372;GPT2, 85M chatacter;1;1;100M;blimp;causal;<1B;77.4;;;;;;;;;;;;
372;Llama 2.51M BPE;1;1;10M;blimp;causal;<1B;59.8;;;;;;;;;;;;
372;Llama 7.77M BPE;1;1;10M;blimp;causal;<1B;64.6;;;;;;;;;;;;
372;Llama 30.03M BPE;1;1;10M;blimp;causal;<1B;64.6;;;;;;;;;;;;
410;Transformer-Micro (30M parameters);1;1;52B;blimp;causal;<1B;77.8;;;;;;;;;;;;
410;Transformer-Mini (70M parameters);1;1;52B;blimp;causal;<1B;80.4;;;;;;;;;;;;
410;"Transformer-Small
(Gpt-2 small like, 124M";1;1;52B;blimp;causal;<1B;81.9;;;;;;;;;;;;
419;Transformers;1;1;83M;blimp;causal;<1B;71.9;;;;;;;;;;;64.08;
435;OPT 125M (100M words);1;1;100M;blimp;causal;<1B;75.3;80.5;73.8;93.1;57.8;77.3;72.2;94.9;80.8;74.5;73.8;51.6;73.6
435;RoBERTa base (100M words);1;1;100 M;blimp;bidir;<1B;75.1;83.8;71.3;93.1;54.5;76.2;67.1;89.5;89.6;70.3;71;66.3;68
435;LTG-BERTbase (100M words);1;1;100 M;blimp;bidir;<1B;85.8;91.7;79.5;95.4;79.8;91.2;80.3;96.1;94.5;72.2;77.1;84.4;87.8
435;ELC-BERTbase (100M words);1;1;100 M;blimp;bidir;<1B;85.3;91.7;81.2;96;83.9;90.8;79.2;92.8;93.6;70.2;74;83.5;87.1
435;OPT 125M (10M words);1;1;10 M;blimp;;<1B;62.6;62;70.6;78.5;48.6;56.9;66.5;63.8;67.5;59.6;67.1;46.7;63.8
435;RoBERTabase (10M words);1;1;10 M;blimp;bidir;<1B;69.5;76.4;67.1;90.8;39.9;65.4;67.9;81.5;87.4;70.5;67.3;55.9;63.5
435;ELC-BERTsmall (10M words);1;1;10 M;blimp;bidir;<1B;80.5;87.4;72.5;93.4;67.9;88.7;72.6;89.5;91;75.2;68.1;79.4;80.6
438;opt-125m;1;1;10 M;blimp;causal;<1B;63.2;;;;;;;;;;;;
438;RoBERTa;1;1;30B ;blimp;bidir;<1B;69.8;;;;;;;;;;;;
438;small RoBERTa;1;1;30B ;blimp;bidir;<1B;71.4;;;;;;;;;;;;
471;104 LLMs;0;0;;blimp;;;;;;;;;;;;;;;
471;104 LLMs;0;0;;blimp: SLING;;;;;;;;;;;;;;;
471;104 LLMs;0;0;;blimp: RUBLiMP;;;;;;;;;;;;;;;
515;12 models;0;0;;blimp;;;na;;;;;;;;;;;;
516;SMOLLM2-360M on 250B tokens;1;1;250B;blimp;causal;<1B;81;;;;;;;;;;;;
516;SMOLLM2-360M 500B;1;1;500B;blimp;causal;<1B;80;;;;;;;;;;;;
516;SMOLLM2-360M 4T tokens;1;1;4T ;blimp;causal;<1B;81;;;;;;;;;;;;
522;GPT-2 (2-layer) 1M;0;1;1M;blimp;causal;<1B;50;;;;;;;;;;;;
522;GPT-2 (2-layer) 4M;0;1;4M;blimp;causal;<1B;52;;;;;;;;;;;;
522;GPT-2 (2-layer) 16M;0;1;16M;blimp;causal;<1B;55;;;;;;;;;;;;
522;GPT-2 (2-layer) 64M;0;1;64M;blimp;causal;<1B;58;;;;;;;;;;;;
522;GPT-2 (2-layer) 256M;0;1;256M;blimp;causal;<1B;63;;;;;;;;;;;;
522;GPT-2 (2-layer) 1B;0;1;1B;blimp;causal;<1B;66;;;;;;;;;;;;
522;GPT-2 (2-layer) 2B;0;1;2B;blimp;causal;<1B;67;;;;;;;;;;;;
522;GPT-2 (2-layer) 3B;0;1;3B;blimp;causal;<1B;67;;;;;;;;;;;;
522;GPT-2 (2-layer) 4B;0;1;4B;blimp;causal;<1B;68;;;;;;;;;;;;
522;GPT-2 (2-layer) 5B;0;1;5B;blimp;causal;<1B;68;;;;;;;;;;;;
522;GPT-2 (2-layer) 6B;0;1;6B;blimp;causal;<1B;68;;;;;;;;;;;;
522;GPT-2 (2-layer) 7B;0;1;7B;blimp;causal;<1B;68;;;;;;;;;;;;
522;GPT-2 (2-layer) 8B;0;1;8B;blimp;causal;<1B;69;;;;;;;;;;;;
522;GPT-2 (2-layer) 9B;0;1;9B;blimp;causal;<1B;69;;;;;;;;;;;;
522;GPT-2 (2-layer) 10B;1;1;10B;blimp;causal;<1B;69;;;;;;;;;;;;
522;Pythia-70M 1M;0;1;1M;blimp;causal;<1B;54;;;;;;;;;;;;
522;Pythia-70M 4M;0;1;4M;blimp;causal;<1B;54;;;;;;;;;;;;
522;Pythia-70M 16M;0;1;16M;blimp;causal;<1B;54;;;;;;;;;;;;
522;Pythia-70M 64M;0;1;64M;blimp;causal;<1B;54;;;;;;;;;;;;
522;Pythia-70M 256M;0;1;256M;blimp;causal;<1B;54;;;;;;;;;;;;
522;Pythia-70M 1B;0;1;1B;blimp;causal;<1B;55;;;;;;;;;;;;
522;Pythia-70M 2B;0;1;2B;blimp;causal;<1B;60;;;;;;;;;;;;
522;Pythia-70M 3B;0;1;3B;blimp;causal;<1B;63;;;;;;;;;;;;
522;Pythia-70M 4B;0;1;4B;blimp;causal;<1B;65;;;;;;;;;;;;
522;Pythia-70M 5B;0;1;5B;blimp;causal;<1B;66;;;;;;;;;;;;
522;Pythia-70M 6B;0;1;6B;blimp;causal;<1B;67;;;;;;;;;;;;
522;Pythia-70M 7B;0;1;7B;blimp;causal;<1B;67;;;;;;;;;;;;
522;Pythia-70M 8B;0;1;8B;blimp;causal;<1B;67;;;;;;;;;;;;
522;Pythia-70M 9B;0;1;9B;blimp;causal;<1B;68;;;;;;;;;;;;
522;Pythia-70M 10B;1;1;10B;blimp;causal;<1B;68;;;;;;;;;;;;
522;Pythia-160M 1M;0;1;1M;blimp;causal;<1B;52;;;;;;;;;;;;
522;Pythia-160M 4M;0;1;4M;blimp;causal;<1B;53;;;;;;;;;;;;
522;Pythia-160M 16M;0;1;16M;blimp;causal;<1B;55;;;;;;;;;;;;
522;Pythia-160M 64M;0;1;64M;blimp;causal;<1B;54;;;;;;;;;;;;
